# Gaia DR3 Real Star Cluster: Pleiades (M45)
# Total Stars: 1679 | 1:1 IRL Physical Units: pos=pc, vel=km/s, mass=M_sun
# Gravitational constant: G = 0.004300917 pc*(km/s)^2/M_sun | 1 time unit = 0.9778 Myr
# name,mass,x,y,z,vx,vy,vz
gaia_65275501377570944,1.6699,4.6645,5.3654,3.4326,-0.0987,-5.0286,6.1249
gaia_65296357738731008,1.6009,-0.8582,-2.4555,-0.3611,-1.3898,-2.8061,0.4420
gaia_69925297395123456,1.7130,8.3153,11.3156,10.5924,-19.2970,10.1265,-10.3170
gaia_70024154658949120,1.5578,-2.3276,-3.6992,2.3852,-2.3922,-2.3270,0.9391
gaia_68593346433465856,1.5607,4.8734,0.3352,4.1631,0.0969,-2.2672,9.8019
gaia_66657415696297344,1.5229,-2.6450,0.6703,0.5385,-0.3794,-2.7920,3.4540
gaia_64837242912474624,1.4455,-0.6908,-4.2175,-5.3837,-0.6553,-2.0058,-2.1748
gaia_64879402312818944,1.4605,-0.3003,-2.3216,-3.2665,-0.1170,-1.4788,4.3718
gaia_65188090203295744,1.4511,-1.3316,-3.6378,-2.8804,-0.7562,-2.5230,4.1052
gaia_69819404977607168,1.4644,-0.6209,-2.3202,0.9533,-0.0879,-1.7160,8.4571
gaia_65272821318002560,1.4312,-0.2596,-2.7095,-1.1669,4.7827,-0.8244,4.2019
gaia_66969676998824576,1.4217,-3.5983,-1.1994,2.4088,-0.2350,-2.4371,3.9543
gaia_64930495244783616,1.4224,-0.9732,1.3450,-1.8126,0.0498,-2.1210,3.5998
gaia_65027595864800000,1.3901,0.6224,-3.6354,-4.5578,0.0440,-1.5091,3.2084
gaia_65120470237460480,1.3826,0.3334,-4.7138,-3.4101,0.4174,-1.8032,2.1190
gaia_66939848447027584,1.3778,-2.5529,-2.3823,1.2027,-1.6213,-2.5347,6.9429
gaia_65225611037551360,1.3484,-1.2382,-1.9704,-1.2104,-0.0674,-3.3100,3.5300
gaia_64117853073517440,1.4213,6.5806,14.0464,2.5231,-23.1012,14.8308,-2.1748
gaia_64952829074688896,1.3116,-1.0061,-1.6066,-3.5857,-0.9338,-3.0710,2.7888
gaia_64808204638390912,1.3327,1.3874,2.0051,-2.2422,-0.0833,-1.9422,4.1499
gaia_66655560269868544,1.2998,-4.3143,-0.5299,0.1853,-1.5678,-2.1231,4.0751
gaia_65011824745303808,1.4082,9.1874,14.4584,6.5331,-24.6055,31.8078,-2.1748
gaia_64117848780835328,1.2807,-3.3890,-1.6511,-5.2473,-23.6596,16.5252,-2.1748
gaia_64739248940235392,1.3151,2.8009,2.4438,-4.1138,-0.7767,-2.1207,4.4971
gaia_68310561489710336,1.2981,1.0928,-2.1403,0.3319,0.5405,-2.4959,2.2945
gaia_66729261908482048,1.2874,-1.5266,-1.9051,-0.8060,-0.4276,-1.7512,-2.1748
gaia_65230764998207232,1.2727,-1.4274,-2.6388,-1.2832,0.0162,-5.1495,15.0741
gaia_65090680344356992,1.2658,0.0589,-2.8929,-2.5467,-0.5706,-3.3623,-3.4387
gaia_66980362877378432,1.2790,-2.4872,-0.6823,3.0439,-1.1046,-3.1327,3.3325
gaia_66713044112564864,1.2643,-2.0251,-1.7281,-1.2114,-1.7774,-2.9408,-2.1748
gaia_66960262430594816,1.2496,-2.4663,-0.2317,2.5154,-0.6192,-3.1090,3.3434
gaia_70099093248307840,1.2590,1.7060,-0.8279,3.9627,5.8243,22.9074,22.9384
gaia_65242069352190976,1.2356,0.3514,-2.2027,-1.4775,-0.4355,-1.9723,4.1147
gaia_69819027020489088,1.2208,-1.3140,-3.3082,0.2986,-0.0999,-2.3339,4.2788
gaia_66623399554745984,1.1402,-12.3326,-12.2753,-6.6903,-6.0684,13.7969,11.9795
gaia_66802654309459712,1.1786,-4.6870,-8.1292,-3.0706,-2.4333,0.6326,-2.1748
gaia_65819965792011904,1.2117,-4.9952,-0.1257,-1.4846,-0.8890,-2.3658,3.0041
gaia_69964879813013248,1.1753,-3.0978,-4.1313,1.1774,-0.9998,-2.0878,6.1060
gaia_68250264445159936,1.2131,5.5787,0.6490,2.1980,-0.4841,-0.6760,3.7876
gaia_69811948914407168,1.1656,-1.9169,-4.9038,-0.6455,-0.4783,-1.8441,2.0787
gaia_69905854079181568,1.1801,-0.1643,-3.1624,2.0407,-12.3221,11.9664,15.5715
gaia_65207709613871744,1.1860,0.1820,0.9399,-0.2753,-0.3539,-3.6438,3.1934
gaia_63854313879691648,1.1238,-7.3907,-6.0350,-8.8653,-17.0959,3.4878,-10.6367
gaia_65020414679879296,1.1618,-1.8464,-1.6950,-1.6761,-0.6378,-2.8948,3.4351
gaia_64837139834697984,1.1442,-0.9122,-4.5459,-5.5502,0.4505,-1.4974,1.2007
gaia_64960628735279232,1.2338,7.4159,11.3935,3.3967,-0.2346,-2.2657,4.0240
gaia_65113559634339200,1.1587,3.4866,-1.8030,-2.1041,0.6459,-1.6838,4.7335
gaia_63592767549850112,1.0870,-4.5146,-8.3351,-10.1621,-0.8310,-1.7925,5.1103
gaia_66523893753437824,1.1153,-2.5449,-2.2169,-1.7634,-0.7179,-2.6360,2.6598
gaia_66471220274934272,1.0962,-5.3250,-3.1060,-3.1338,-0.3998,-1.8618,3.5954
gaia_70108473456817280,1.1208,1.1345,-3.3454,2.8648,-1.8927,-1.2619,1.3174
gaia_69918979499308928,1.0251,-10.1581,-16.8279,-5.6743,25.6716,26.8291,60.6237
gaia_69818649063339136,1.1866,7.7680,11.0998,8.5152,-11.2675,18.0018,12.8093
gaia_65222759179728640,1.1019,-0.1718,-1.4074,-0.7895,-1.3202,-2.4365,6.5471
gaia_69922243674432896,1.1870,8.5394,11.8831,10.8320,1.3100,-4.9579,-2.6568
gaia_64999588381514496,1.1090,-0.1658,1.3040,-0.9610,-1.2359,-2.5703,4.2855
gaia_64971177174850304,1.0292,-7.5472,-11.9965,-8.2915,-1.0797,-1.9479,3.6458
gaia_66507469798631936,1.0907,-2.6111,-0.7934,-1.7647,0.2525,-4.0760,2.5329
gaia_65199978672758272,1.0702,-2.0734,-3.2669,-2.7077,-0.5923,-3.0677,4.4102
gaia_64637612833779968,1.0587,0.6536,-4.5426,-5.6885,-6.1925,12.9356,43.8172
gaia_66838452861270272,1.0579,-2.1181,-3.3171,0.2807,-0.0977,-3.1302,2.9445
gaia_64956123313498368,1.0529,-0.7654,-2.0835,-3.6023,-1.1061,-2.1839,3.1242
gaia_64924413571101952,1.0908,1.9826,6.3902,0.2690,-0.3293,-2.6670,4.4547
gaia_66462939577861248,1.0557,-1.9715,0.9300,-0.7466,-1.0594,-2.0775,2.4475
gaia_66712872313875456,1.1241,8.0499,13.6536,6.9026,-18.8357,11.7343,-32.3984
gaia_67362821124855936,1.1434,7.8141,17.6836,13.8842,-3.9792,16.9916,4.2238
